id,car_name,review,rating
68,toyota Yaris,"Good pricing for the rental, but the car needed better air conditioning. The driver was very helpful during the journey.",4
69,toyota C-HR,"I enjoyed the journey with this car. The pricing was fair, but the car didnât have great handling at high speeds.",4
70,toyota Prius,"Affordable price, but the car was a bit cramped. The driver was great, and the journey was still pleasant.",5
71,toyota Land Cruiser,"The car was great for the trip, but the pricing was a little high for the duration. The driverâs service was impeccable.",4
72,toyota Supra,"Smooth journey with a reliable car, but the price was a bit more than I had hoped for.",4
73,toyota Camry,"Decent price for a decent car, but the service was slow. The driver, though, was very polite.",3
74,Toyota test,"Good rental, but the price could have been better for the type of car. The driver was very helpful throughout the journey.",4
75,New Car,The driver was nice. We reaced safely.,4
76,New Car,The road was difficult. Thanks to the driver for his smooth driving,3
77,New Car,The journey was awesome. The driver was helpful,5
78,New Car,The journey was awesome. The driver was helpful,5
